event_id,anchor_date,as_of,date,es_975_eur,exception_99,loss_eur,model,relative_observation,signed_hpl_eur,var_99_eur
chf_floor_2015,2015-01-15,2014-12-12,2014-12-15,40260.057144080078,False,6271.4352503722339,ewma_fhs,-20,-6271.4352503722339,38632.260263042095
chf_floor_2015,2015-01-15,2014-12-15,2014-12-16,39256.94660816923,False,5884.4812409116112,ewma_fhs,-19,-5884.4812409116112,37686.144882318222
chf_floor_2015,2015-01-15,2014-12-16,2014-12-17,41325.148045790309,False,-10340.719556417262,ewma_fhs,-18,10340.719556417262,40263.747760054895
chf_floor_2015,2015-01-15,2014-12-17,2014-12-18,40992.317447820074,False,-30504.413956767821,ewma_fhs,-17,30504.413956767821,39992.05745321323
chf_floor_2015,2015-01-15,2014-12-18,2014-12-19,44854.621068913766,False,-602.07931973211055,ewma_fhs,-16,602.07931973211055,43471.534661502446
chf_floor_2015,2015-01-15,2014-12-19,2014-12-22,43679.953637582061,False,5513.3140820740427,ewma_fhs,-15,-5513.3140820740427,42643.947433225963
chf_floor_2015,2015-01-15,2014-12-22,2014-12-23,42615.590673485684,False,-5970.355390706306,ewma_fhs,-14,5970.355390706306,41579.922838648417
chf_floor_2015,2015-01-15,2014-12-23,2014-12-24,41684.691187184973,False,3125.1425314584726,ewma_fhs,-13,-3125.1425314584726,40725.632406655677
chf_floor_2015,2015-01-15,2014-12-24,2014-12-29,40454.918843830696,False,-11442.87275117123,ewma_fhs,-12,11442.87275117123,39594.1475785332
chf_floor_2015,2015-01-15,2014-12-29,2014-12-30,39789.921575530789,False,-21542.216621239957,ewma_fhs,-11,21542.216621239957,38636.984127417018
chf_floor_2015,2015-01-15,2014-12-30,2014-12-31,40682.789017094838,False,-10842.250672649545,ewma_fhs,-10,10842.250672649545,39594.615941250559
chf_floor_2015,2015-01-15,2014-12-31,2015-01-02,39914.795834668192,False,-6596.6679554569228,ewma_fhs,-9,6596.6679554569228,38783.349045522635
chf_floor_2015,2015-01-15,2015-01-02,2015-01-05,39639.455075333455,False,-29651.212305554101,ewma_fhs,-8,29651.212305554101,39106.951568809403
chf_floor_2015,2015-01-15,2015-01-05,2015-01-06,43398.037468404094,False,-16172.855598649665,ewma_fhs,-7,16172.855598649665,43400.593217801201
chf_floor_2015,2015-01-15,2015-01-06,2015-01-07,43797.342029091538,False,-11871.845292114607,ewma_fhs,-6,11871.845292114607,44041.203181983306
chf_floor_2015,2015-01-15,2015-01-07,2015-01-08,43420.03512263525,False,-19472.743240799813,ewma_fhs,-5,19472.743240799813,43402.850230547694
chf_floor_2015,2015-01-15,2015-01-08,2015-01-09,43568.937454342842,False,446.61212377964847,ewma_fhs,-4,-446.61212377964847,43513.398638378167
chf_floor_2015,2015-01-15,2015-01-09,2015-01-12,42462.48202768551,False,-4077.8248905269375,ewma_fhs,-3,4077.8248905269375,42427.151581719241
chf_floor_2015,2015-01-15,2015-01-12,2015-01-13,41271.779649693191,False,-16199.432370263592,ewma_fhs,-2,16199.432370263592,41253.700779365397
chf_floor_2015,2015-01-15,2015-01-13,2015-01-14,41104.101545537531,False,-14325.950947680099,ewma_fhs,-1,14325.950947680099,41509.155432445456
chf_floor_2015,2015-01-15,2015-01-14,2015-01-15,42638.110992811424,False,-268604.65699154069,ewma_fhs,0,268604.65699154069,42703.945717745359
chf_floor_2015,2015-01-15,2015-01-15,2015-01-16,271052.06787628739,False,-51033.762239015523,ewma_fhs,1,51033.762239015523,249471.47927930503
chf_floor_2015,2015-01-15,2015-01-16,2015-01-19,268520.70494677551,False,14240.693823371705,ewma_fhs,2,-14240.693823371705,245967.86325851348
chf_floor_2015,2015-01-15,2015-01-19,2015-01-20,260864.0613523933,False,-3741.4534415293697,ewma_fhs,3,3741.4534415293697,238399.21710141888
chf_floor_2015,2015-01-15,2015-01-20,2015-01-21,254044.87624829912,False,-18735.588563434445,ewma_fhs,4,18735.588563434445,231739.49566199887
chf_floor_2015,2015-01-15,2015-01-21,2015-01-22,249358.12764839263,False,10545.540967796203,ewma_fhs,5,-10545.540967796203,226740.28148634089
chf_floor_2015,2015-01-15,2015-01-22,2015-01-23,243534.62989008997,False,-126955.39410711946,ewma_fhs,6,126955.39410711946,221338.16952165565
chf_floor_2015,2015-01-15,2015-01-23,2015-01-26,250386.47840865541,False,49908.547691972155,ewma_fhs,7,-49908.547691972155,226489.99627927935
chf_floor_2015,2015-01-15,2015-01-26,2015-01-27,240818.25621696759,False,28791.915940221559,ewma_fhs,8,-28791.915940221559,217670.18756429336
chf_floor_2015,2015-01-15,2015-01-27,2015-01-28,231704.24425606988,False,18479.299666000945,ewma_fhs,9,-18479.299666000945,209090.31128182448
chf_floor_2015,2015-01-15,2015-01-28,2015-01-29,223575.0580220244,False,39949.895985289142,ewma_fhs,10,-39949.895985289142,201632.12413767196
chf_floor_2015,2015-01-15,2015-01-29,2015-01-30,216234.30770516305,False,14374.606115746808,ewma_fhs,11,-14374.606115746808,196138.86184988671
chf_floor_2015,2015-01-15,2015-01-30,2015-02-02,208607.51037005559,False,8496.0862152952759,ewma_fhs,12,-8496.0862152952759,188958.54085510119
chf_floor_2015,2015-01-15,2015-02-02,2015-02-03,199119.2811457114,False,33734.395657933725,ewma_fhs,13,-33734.395657933725,182465.16816889303
chf_floor_2015,2015-01-15,2015-02-03,2015-02-04,193680.49755177632,False,16161.55218685503,ewma_fhs,14,-16161.55218685503,176388.07425116506
chf_floor_2015,2015-01-15,2015-02-04,2015-02-05,187313.32102104637,False,-21854.39716259847,ewma_fhs,15,21854.39716259847,170128.73424092095
chf_floor_2015,2015-01-15,2015-02-05,2015-02-06,182259.38435449961,False,-6189.2368199125285,ewma_fhs,16,6189.2368199125285,165134.49019537706
chf_floor_2015,2015-01-15,2015-02-06,2015-02-09,177683.14011497851,False,-54700.519713065441,ewma_fhs,17,54700.519713065441,161064.25705960143
chf_floor_2015,2015-01-15,2015-02-09,2015-02-10,175952.15255848636,False,21400.084784163417,ewma_fhs,18,-21400.084784163417,158998.60371841112
chf_floor_2015,2015-01-15,2015-02-10,2015-02-11,170473.16173345494,False,12465.782795146704,ewma_fhs,19,-12465.782795146704,153737.0150871643
chf_floor_2015,2015-01-15,2015-02-11,2015-02-12,165400.50584938508,False,25678.043705133001,ewma_fhs,20,-25678.043705133001,148909.37311818142
chf_floor_2015,2015-01-15,2014-12-12,2014-12-15,36879.906773776638,False,6271.4352503722339,ewma_gaussian,-20,-6271.4352503722339,36699.200208076363
chf_floor_2015,2015-01-15,2014-12-15,2014-12-16,35855.758293039828,False,5884.4812409116112,ewma_gaussian,-19,-5884.4812409116112,35680.069916671113
chf_floor_2015,2015-01-15,2014-12-16,2014-12-17,34840.213201141254,False,-10340.719556417262,ewma_gaussian,-18,10340.719556417262,34669.500858659951
chf_floor_2015,2015-01-15,2014-12-17,2014-12-18,34375.440284735247,False,-30504.413956767821,ewma_gaussian,-17,30504.413956767821,34207.005266816319
chf_floor_2015,2015-01-15,2014-12-18,2014-12-19,38048.325288134896,False,-602.07931973211055,ewma_gaussian,-16,602.07931973211055,37861.8936294097
chf_floor_2015,2015-01-15,2014-12-19,2014-12-22,36887.897906287231,False,5513.3140820740427,ewma_gaussian,-15,-5513.3140820740427,36707.152185116174
chf_floor_2015,2015-01-15,2014-12-22,2014-12-23,35848.728007894577,False,-5970.355390706306,ewma_gaussian,-14,5970.355390706306,35673.074078974234
chf_floor_2015,2015-01-15,2014-12-23,2014-12-24,34984.99876233386,False,3125.1425314584726,ewma_gaussian,-13,-3125.1425314584726,34813.576990143672
chf_floor_2015,2015-01-15,2014-12-24,2014-12-29,33928.293574767973,False,-11442.87275117123,ewma_gaussian,-12,11442.87275117123,33762.0495153788
chf_floor_2015,2015-01-15,2014-12-29,2014-12-30,33667.684243914038,False,-21542.216621239957,ewma_gaussian,-11,21542.216621239957,33502.717135072955
chf_floor_2015,2015-01-15,2014-12-30,2014-12-31,35088.552184946224,False,-10842.250672649545,ewma_gaussian,-10,10842.250672649545,34916.623014961311
chf_floor_2015,2015-01-15,2014-12-31,2015-01-02,34678.000938373079,False,-6596.6679554569228,ewma_gaussian,-9,6596.6679554569228,34508.083414086388
chf_floor_2015,2015-01-15,2015-01-02,2015-01-05,33888.113436943437,False,-29651.212305554101,ewma_gaussian,-8,29651.212305554101,33722.066254806698
chf_floor_2015,2015-01-15,2015-01-05,2015-01-06,37301.417252870277,False,-16172.855598649665,ewma_gaussian,-7,16172.855598649665,37118.645342711541
chf_floor_2015,2015-01-15,2015-01-06,2015-01-07,37526.744904823005,False,-11871.845292114607,ewma_gaussian,-6,11871.845292114607,37342.868919581022
chf_floor_2015,2015-01-15,2015-01-07,2015-01-08,37114.037371803941,False,-19472.743240799813,ewma_gaussian,-5,19472.743240799813,36932.183597772746
chf_floor_2015,2015-01-15,2015-01-08,2015-01-09,37887.387242066645,False,446.61212377964847,ewma_gaussian,-4,-446.61212377964847,37701.744158046218
chf_floor_2015,2015-01-15,2015-01-09,2015-01-12,36722.986773944816,False,-4077.8248905269375,ewma_gaussian,-3,4077.8248905269375,36543.049095065042
chf_floor_2015,2015-01-15,2015-01-12,2015-01-13,35715.259900937075,False,-16199.432370263592,ewma_gaussian,-2,16199.432370263592,35540.259947727325
chf_floor_2015,2015-01-15,2015-01-13,2015-01-14,35997.4123951031,False,-14325.950947680099,ewma_gaussian,-1,14325.950947680099,35821.029932752608
chf_floor_2015,2015-01-15,2015-01-14,2015-01-15,35998.351929613011,False,-268604.65699154069,ewma_gaussian,0,268604.65699154069,35821.964863670219
chf_floor_2015,2015-01-15,2015-01-15,2015-01-16,178880.45133656872,False,-51033.762239015523,ewma_gaussian,1,51033.762239015523,178003.96126759352
chf_floor_2015,2015-01-15,2015-01-16,2015-01-19,178167.4375205503,False,14240.693823371705,ewma_gaussian,2,-14240.693823371705,177294.44112304182
chf_floor_2015,2015-01-15,2015-01-19,2015-01-20,172922.9576765438,False,-3741.4534415293697,ewma_gaussian,3,3741.4534415293697,172075.65852245048
chf_floor_2015,2015-01-15,2015-01-20,2015-01-21,168097.76939756278,False,-18735.588563434445,ewma_gaussian,4,18735.588563434445,167274.11301480565
chf_floor_2015,2015-01-15,2015-01-21,2015-01-22,164538.93436120375,False,10545.540967796203,ewma_gaussian,5,-10545.540967796203,163732.71578980709
chf_floor_2015,2015-01-15,2015-01-22,2015-01-23,160101.0723639401,False,-126955.39410711946,ewma_gaussian,6,126955.39410711946,159316.59871737467
chf_floor_2015,2015-01-15,2015-01-23,2015-01-26,174328.48864913234,False,49908.547691972155,ewma_gaussian,7,-49908.547691972155,173474.30258297062
chf_floor_2015,2015-01-15,2015-01-26,2015-01-27,168881.98747496281,False,28791.915940221559,ewma_gaussian,8,-28791.915940221559,168054.48852946828
chf_floor_2015,2015-01-15,2015-01-27,2015-01-28,162798.70704651912,False,18479.299666000945,ewma_gaussian,9,-18479.299666000945,162001.01535409491
chf_floor_2015,2015-01-15,2015-01-28,2015-01-29,157345.288234626,False,39949.895985289142,ewma_gaussian,10,-39949.895985289142,156574.3175583602
chf_floor_2015,2015-01-15,2015-01-29,2015-01-30,152688.08424727584,False,14374.606115746808,ewma_gaussian,11,-14374.606115746808,151939.9332419892
chf_floor_2015,2015-01-15,2015-01-30,2015-02-02,147374.76377959567,False,8496.0862152952759,ewma_gaussian,12,-8496.0862152952759,146652.64732748913
chf_floor_2015,2015-01-15,2015-02-02,2015-02-03,142504.12538609482,False,33734.395657933725,ewma_gaussian,13,-33734.395657933725,141805.87440475143
chf_floor_2015,2015-01-15,2015-02-03,2015-02-04,139017.13409780205,False,16161.55218685503,ewma_gaussian,14,-16161.55218685503,138335.96890315003
chf_floor_2015,2015-01-15,2015-02-04,2015-02-05,134409.22555138977,False,-21854.39716259847,ewma_gaussian,15,21854.39716259847,133750.63848670947
chf_floor_2015,2015-01-15,2015-02-05,2015-02-06,131262.31857856188,False,-6189.2368199125285,ewma_gaussian,16,6189.2368199125285,130619.1509333266
chf_floor_2015,2015-01-15,2015-02-06,2015-02-09,127711.95021869184,False,-54700.519713065441,ewma_gaussian,17,54700.519713065441,127086.17889924496
chf_floor_2015,2015-01-15,2015-02-09,2015-02-10,128997.69088140862,False,21400.084784163417,ewma_gaussian,18,-21400.084784163417,128365.61960624425
chf_floor_2015,2015-01-15,2015-02-10,2015-02-11,125242.66039321448,False,12465.782795146704,ewma_gaussian,19,-12465.782795146704,124628.98826064511
chf_floor_2015,2015-01-15,2015-02-11,2015-02-12,121430.36559314327,False,25678.043705133001,ewma_gaussian,20,-25678.043705133001,120835.37319056844
chf_floor_2015,2015-01-15,2014-12-12,2014-12-15,50356.059748397049,False,6271.4352503722339,historical,-20,-6271.4352503722339,47094.377115777039
chf_floor_2015,2015-01-15,2014-12-15,2014-12-16,50307.231445959682,False,5884.4812409116112,historical,-19,-5884.4812409116112,47028.502927779686
chf_floor_2015,2015-01-15,2014-12-16,2014-12-17,50362.228859385184,False,-10340.719556417262,historical,-18,10340.719556417262,47131.357754830402
chf_floor_2015,2015-01-15,2014-12-17,2014-12-18,50438.314659379219,False,-30504.413956767821,historical,-17,30504.413956767821,47186.820705444123
chf_floor_2015,2015-01-15,2014-12-18,2014-12-19,50634.091925511057,False,-602.07931973211055,historical,-16,602.07931973211055,47387.141600331684
chf_floor_2015,2015-01-15,2014-12-19,2014-12-22,50618.000600056723,False,5513.3140820740427,historical,-15,-5513.3140820740427,47353.121270379059
chf_floor_2015,2015-01-15,2014-12-22,2014-12-23,50551.497402909408,False,-5970.355390706306,historical,-14,5970.355390706306,47263.206825581714
chf_floor_2015,2015-01-15,2014-12-23,2014-12-24,50617.690890006961,False,3125.1425314584726,historical,-13,-3125.1425314584726,47330.453977915015
chf_floor_2015,2015-01-15,2014-12-24,2014-12-29,50584.367744805531,False,-11442.87275117123,historical,-12,11442.87275117123,47286.635462258026
chf_floor_2015,2015-01-15,2014-12-29,2014-12-30,50664.207008717538,False,-21542.216621239957,historical,-11,21542.216621239957,47374.892765471282
chf_floor_2015,2015-01-15,2014-12-30,2014-12-31,50900.306387923592,False,-10842.250672649545,historical,-10,10842.250672649545,47643.111448003736
chf_floor_2015,2015-01-15,2014-12-31,2015-01-02,50983.623950535337,False,-6596.6679554569228,historical,-9,6596.6679554569228,47727.510010532955
chf_floor_2015,2015-01-15,2015-01-02,2015-01-05,51051.319417615487,False,-29651.212305554101,historical,-8,29651.212305554101,47775.649935190311
chf_floor_2015,2015-01-15,2015-01-05,2015-01-06,51410.530201815702,False,-16172.855598649665,historical,-7,16172.855598649665,48165.75066605123
chf_floor_2015,2015-01-15,2015-01-06,2015-01-07,51597.166820662635,False,-11871.845292114607,historical,-6,11871.845292114607,48395.363547744426
chf_floor_2015,2015-01-15,2015-01-07,2015-01-08,51726.464801560564,False,-19472.743240799813,historical,-5,19472.743240799813,48512.732192827127
chf_floor_2015,2015-01-15,2015-01-08,2015-01-09,51874.08237443195,False,446.61212377964847,historical,-4,-446.61212377964847,48669.334282771808
